creation date,Not Rated,General Audiences,Teen And Up Audiences,Mature,Explicit
2008-09,76,232,213,174,233
2008-10,114,343,306,217,429
2008-11,125,440,403,273,505
2008-12,127,533,450,314,561
2009-01,145,708,554,392,694
2009-02,153,802,635,443,791
2009-03,194,915,711,482,861
2009-04,208,1090,872,638,1062
2009-05,210,1238,976,742,1240
2009-06,217,1305,1021,768,1283
2009-07,243,1391,1100,841,1415
2009-08,250,1498,1144,866,1476
2009-09,252,1613,1185,893,1576
2009-10,261,1753,1356,946,1650
2009-11,770,7008,5721,3102,4246
2009-12,1063,13374,10424,5064,6319
2010-01,1399,17652,14368,7369,9322
2010-02,1524,20030,16599,8533,10618
2010-03,1748,22921,19246,9899,12033
2010-04,1958,24871,20996,10824,13655
2010-05,2081,26644,22878,11747,14771
2010-06,2239,28237,24336,12593,15647
2010-07,2539,29906,26135,13507,16694
2010-08,2714,31445,27673,14388,17712
2010-09,3122,34507,30343,15818,19684
2010-10,3301,36512,32508,16857,20934
2010-11,3431,38052,33871,17535,21770
2010-12,3747,41156,36445,18606,22770
2011-01,4009,44091,39503,20137,24588
2011-02,4262,46204,41637,21263,25971
2011-03,4635,48636,44142,22480,27332
2011-04,5325,52916,48444,24713,29947
2011-05,5722,56319,51990,26544,32118
2011-06,6012,59019,54951,27978,33841
2011-07,6422,62486,58450,29835,36293
2011-08,6885,65764,62037,32077,38888
2011-09,7275,68443,64736,33462,40499
2011-10,7785,71242,67494,35003,42092
2011-11,8327,74471,71191,36852,44030
2011-12,9097,80182,77313,39533,47109
2012-01,9924,85434,82916,42248,50381
2012-02,10652,89260,87494,44587,53364
2012-03,11532,94584,93269,47847,57527
2012-04,12444,99579,98996,50505,60521
2012-05,13354,105045,104728,53201,63636
2012-06,14503,111681,111811,56785,67937
2012-07,15617,117369,118415,60006,71362
2012-08,16785,122759,124858,63212,75114
2012-09,17810,128412,131399,66439,78735
2012-10,18997,134299,137976,69492,82112
2012-11,20238,140137,144808,72520,85749
2012-12,22224,150036,154376,76768,90337
2013-01,24451,160633,165592,82293,96428
2013-02,26605,168939,174586,86844,101575
2013-03,28974,177150,183492,91687,106742
2013-04,31212,184444,192033,96051,111167
2013-05,33712,193967,200883,101550,118826
2013-06,36088,201816,209793,105977,123604
2013-07,38709,210494,218893,110622,128850
2013-08,41149,219383,228147,115203,133840
2013-09,43498,226590,236405,119206,138244
2013-10,46007,234309,244913,123725,143261
2013-11,48589,241763,253213,127771,147912
2013-12,51949,252733,263557,132458,152991
2014-01,55223,262550,274612,137628,158877
2014-02,58486,271270,283986,142314,164635
2014-03,61876,280902,294290,147233,170515
2014-04,65608,290142,304870,152478,175990
2014-05,69683,302704,317483,158772,182297
2014-06,73568,312989,328727,164262,188318
2014-07,77210,324377,341516,170505,194659
2014-08,80577,335127,353642,176397,201353
2014-09,83593,344826,364558,181592,207096
2014-10,86680,355512,375962,187120,212832
2014-11,89825,365163,386774,192326,218296
2014-12,93762,379899,401193,198472,224780
2015-01,97372,392904,414231,204611,231162
2015-02,101001,405778,427494,210704,237604
2015-03,104859,419562,441507,217530,244427
2015-04,108506,435249,454863,223912,251591
2015-05,112326,448227,468532,230624,258398
2015-06,116144,461386,482073,237014,264965
2015-07,120495,475187,497483,244092,272356
2015-08,124884,489523,513302,251629,279872
2015-09,128560,502280,527228,258431,287007
2015-10,132365,514894,541284,265042,293963
2015-11,136187,527628,554973,271631,301013
2015-12,141417,546782,573161,279738,309122
2016-01,146234,563357,590445,287808,317872
2016-02,150905,579606,607035,295680,326444
2016-03,156306,596242,624027,304311,334994
2016-04,161233,612071,640634,312241,343582
2016-05,166400,628935,658290,320737,352075
2016-06,171356,644976,675619,328959,360657
2016-07,176796,661678,694129,337501,369544
2016-08,182218,678796,712502,346350,378902
2016-09,186880,695059,729315,354511,387423
2016-10,192000,711782,747118,362997,396757
2016-11,196888,727763,763358,370702,405287
2016-12,203382,750866,785433,380215,415162
2017-01,209347,770534,805553,389426,424652
2017-02,214782,788877,823823,398679,433739
2017-03,220699,807578,842655,409499,443860
2017-04,226505,825765,862038,418395,453599
2017-05,232376,844617,881540,427940,464688
2017-06,239134,865486,901207,438181,476793
2017-07,245725,885720,922941,448179,487196
2017-08,252664,903922,943417,457516,496845
2017-09,258641,920616,961869,466624,506704
2017-10,264941,940465,982805,476504,517919
2017-11,270952,957704,1001341,485646,527473
2017-12,278367,982389,1024590,495325,537482
2018-01,285306,1002764,1046485,504790,547708
2018-02,291526,1021597,1066655,514294,557797
2018-03,298291,1041740,1087784,524130,568337
2018-04,305548,1061268,1108480,534264,579178
2018-05,313282,1080965,1131006,544573,590328
2018-06,321127,1101573,1153936,555175,601595
2018-07,329242,1123521,1177954,566602,613611
2018-08,337464,1143903,1201352,577506,625211
2018-09,344783,1162286,1221865,587504,635831
2018-10,352558,1183027,1244824,598986,649811
2018-11,361040,1202210,1266030,610507,661682
2018-12,373432,1235365,1298151,627432,679912
2019-01,383730,1259373,1323436,641542,694205
2019-02,393657,1281629,1346969,655249,707507
2019-03,404083,1303990,1370822,669682,721074
2019-04,414684,1326364,1394908,683762,734640
2019-05,427648,1349958,1420392,699625,749080
2019-06,439722,1373627,1445654,714917,764142
2019-07,452181,1399945,1473633,731426,779783
2019-08,465150,1425993,1500885,748041,796145
2019-09,476856,1448868,1525679,762852,811292
2019-10,490094,1475775,1554641,779735,830761
2019-11,501482,1498701,1578859,794423,845383
2019-12,514451,1530088,1610429,811224,862723
2020-01,528679,1557260,1640636,830302,881370
2020-02,545157,1585059,1670375,851847,900979
2020-03,556574,1616984,1704065,869238,919634
2020-04,568975,1652097,1743491,888734,941125
2020-05,581895,1691129,1785613,908668,962600
2020-06,594634,1728595,1825696,927466,983289
2020-07,610863,1775298,1875420,950595,1006729
2020-08,625076,1816836,1919830,972765,1030845
2020-09,637351,1853311,1959066,992051,1052771
2020-10,651539,1895727,2006772,1014066,1081494
2020-11,664936,1933730,2048940,1033071,1103237
2020-12,680699,1984173,2100375,1055735,1129893
2021-01,697574,2029765,2151474,1079565,1156977
2021-02,713437,2072389,2198190,1103175,1182011
